n : 1.0
freq : 83.33 MHz
SWR : 24.444
 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
 95  80   -12.657     0.054242      -3409.308
100  80   -13.120     0.048749      -3769.791
105  80   -13.374     0.045983      -3770.802
110  80   -13.392     0.045798      -3772.312
115  80   -14.050     0.039358      -3772.234
120  80   -13.566     0.043998      -3771.421
125  80   -15.157     0.030497      -3770.640
130  80   -16.560     0.022080      -3770.816
135  80   -16.226     0.023848      -3769.694
140  80   -16.203     0.023973      -3407.201
145  80   -17.605     0.017358      -3408.219
150  80   -18.432     0.014350      -3407.700
155  80   -19.602     0.010960      -3768.228
160  80   -21.554     0.006992      -3769.930
165  80   -23.873     0.004100      -3771.675
170  80   -28.102     0.001548      -3774.024
175  80   -31.875     0.000649      -3413.588
180  80   -28.635     0.001369      -3415.233
  0  85   -28.302     0.001479      -3770.859
  5  85   -28.410     0.001442      -3770.873
 10  85   -27.483     0.001785      -3409.606
 15  85   -25.535     0.002796      -3768.498
 20  85   -23.115     0.004880      -3409.256
 25  85   -20.204     0.009540      -3769.696
 30  85   -18.679     0.013554      -3409.038
 35  85   -17.935     0.016089      -3408.364
 40  85   -16.706     0.021351      -3410.216
 45  85   -17.368     0.018330      -3407.830
 50  85   -16.307     0.023407      -3408.454
 55  85   -16.275     0.023579      -3408.951
 60  85   -14.503     0.035460      -3411.378
 65  85   -13.752     0.042153      -3052.213
 70  85   -13.639     0.043263      -3413.367
 75  85   -13.219     0.047657      -3412.018
 80  85   -13.625     0.043400      -3412.200
 85  85   -12.646     0.054375      -3410.851
 90  85   -12.034     0.062602      -3409.533
 95  85   -12.657     0.054242      -3409.308
100  85   -13.120     0.048749      -3769.791
105  85   -13.374     0.045983      -3770.802
110  85   -13.392     0.045798      -3772.312
115  85   -14.050     0.039358      -3772.234
120  85   -13.566     0.043998      -3771.421
125  85   -15.157     0.030497      -3770.640
130  85   -16.560     0.022080      -3770.816
135  85   -16.226     0.023848      -3769.694
140  85   -16.203     0.023973      -3407.201
145  85   -17.605     0.017358      -3408.219
150  85   -18.432     0.014350      -3407.700
155  85   -19.602     0.010960      -3768.228
160  85   -21.554     0.006992      -3769.930
165  85   -23.873     0.004100      -3771.675
