Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
408.934708,5.95978e-07,1.03896e-07,3.2727e-07,6.13749e-08,4.24024e-07,2.77633e-07,8.07196e-08,3.44309e-07,2.88779e-07,1.77354e-07,2.39629e-07,1.8963e-07,2.25052e-07,2.32161e-07,2.27493e-07,1.87143e-07
409.793814,6.05412e-07,1.05565e-07,3.33587e-07,6.31111e-08,4.31573e-07,2.8251e-07,8.30562e-08,3.48394e-07,2.93054e-07,1.79575e-07,2.41958e-07,1.92689e-07,2.27945e-07,2.34331e-07,2.29852e-07,1.89866e-07
410.652921,6.12722e-07,1.06877e-07,3.38902e-07,6.40801e-08,4.36722e-07,2.86145e-07,8.43236e-08,3.52522e-07,2.96306e-07,1.81227e-07,2.43908e-07,1.95374e-07,2.30152e-07,2.36503e-07,2.31398e-07,1.92839e-07
411.512027,6.1813e-07,1.07975e-07,3.43384e-07,6.46049e-08,4.40826e-07,2.89737e-07,8.44279e-08,3.56341e-07,2.99191e-07,1.82708e-07,2.45358e-07,1.97693e-07,2.32537e-07,2.38398e-07,2.32963e-07,1.95464e-07
412.371134,6.21462e-07,1.088e-07,3.46999e-07,6.5396e-08,4.4347e-07,2.93043e-07,8.43495e-08,3.57934e-07,3.01541e-07,1.83836e-07,2.45898e-07,1.99589e-07,2.34894e-07,2.39622e-07,2.34371e-07,1.97026e-07
413.230241,6.21391e-07,1.09265e-07,3.48979e-07,6.62973e-08,4.44025e-07,2.95156e-07,8.4578e-08,3.56991e-07,3.02496e-07,1.84141e-07,2.4515e-07,2.00643e-07,2.36035e-07,2.39629e-07,2.3491e-07,1.97175e-07
414.089347,6.17145e-07,1.09284e-07,3.49384e-07,6.63276e-08,4.41185e-07,2.95703e-07,8.47307e-08,3.54175e-07,3.01432e-07,1.83277e-07,2.43105e-07,2.0055e-07,2.35778e-07,2.3877e-07,2.34072e-07,1.96427e-07
414.948454,6.10005e-07,1.08799e-07,3.47898e-07,6.53355e-08,4.35964e-07,2.9445e-07,8.43879e-08,3.50427e-07,2.98936e-07,1.81799e-07,2.40581e-07,1.99763e-07,2.34434e-07,2.37372e-07,2.32298e-07,1.95338e-07
415.807560,6.01856e-07,1.08225e-07,3.45525e-07,6.45268e-08,4.29457e-07,2.92423e-07,8.40452e-08,3.46161e-07,2.9583e-07,1.80223e-07,2.38564e-07,1.98687e-07,2.32974e-07,2.35996e-07,2.30152e-07,1.9432e-07
416.666667,5.93145e-07,1.07767e-07,3.4253e-07,6.53198e-08,4.22028e-07,2.90131e-07,8.44692e-08,3.41379e-07,2.92583e-07,1.78907e-07,2.36655e-07,1.97591e-07,2.3198e-07,2.34799e-07,2.28293e-07,1.93553e-07
417.525773,5.832e-07,1.07449e-07,3.38743e-07,6.73829e-08,4.14011e-07,2.8745e-07,8.57221e-08,3.35951e-07,2.88942e-07,1.77626e-07,2.3411e-07,1.96382e-07,2.3105e-07,2.33477e-07,2.26124e-07,1.92723e-07
418.384880,5.72649e-07,1.06849e-07,3.34303e-07,6.91145e-08,4.04715e-07,2.8395e-07,8.65676e-08,3.29228e-07,2.84911e-07,1.7598e-07,2.3065e-07,1.94861e-07,2.29406e-07,2.32056e-07,2.23929e-07,1.91371e-07
419.243986,5.61302e-07,1.05703e-07,3.29503e-07,6.92377e-08,3.94798e-07,2.80233e-07,8.58723e-08,3.22126e-07,2.80516e-07,1.73736e-07,2.26124e-07,1.92921e-07,2.26638e-07,2.30072e-07,2.20938e-07,1.89292e-07
420.103093,5.5082e-07,1.04109e-07,3.24793e-07,6.77895e-08,3.85004e-07,2.76553e-07,8.35879e-08,3.15083e-07,2.75736e-07,1.71431e-07,2.21506e-07,1.90756e-07,2.23228e-07,2.27743e-07,2.17837e-07,1.86687e-07
420.962199,5.41591e-07,1.02532e-07,3.20695e-07,6.61524e-08,3.76223e-07,2.73436e-07,8.10734e-08,3.08271e-07,2.7143e-07,1.69389e-07,2.17753e-07,1.88749e-07,2.20112e-07,2.25855e-07,2.15142e-07,1.8444e-07
421.821306,5.33612e-07,1.01885e-07,3.16982e-07,6.56471e-08,3.68562e-07,2.7057e-07,8.0419e-08,3.02191e-07,2.6803e-07,1.6796e-07,2.15477e-07,1.8697e-07,2.18417e-07,2.24944e-07,2.1328e-07,1.83072e-07
422.680412,5.26406e-07,1.02462e-07,3.13743e-07,6.66313e-08,3.61842e-07,2.67712e-07,8.26432e-08,2.96734e-07,2.65534e-07,1.67167e-07,2.14564e-07,1.85627e-07,2.18323e-07,2.25518e-07,2.12117e-07,1.82636e-07
423.539519,5.20271e-07,1.03879e-07,3.1089e-07,6.84701e-08,3.55886e-07,2.64732e-07,8.65342e-08,2.91647e-07,2.6396e-07,1.66944e-07,2.14425e-07,1.84993e-07,2.19233e-07,2.26585e-07,2.11797e-07,1.82864e-07
424.398625,5.14724e-07,1.05218e-07,3.08801e-07,7.00957e-08,3.50806e-07,2.62093e-07,8.97878e-08,2.87547e-07,2.6296e-07,1.67182e-07,2.14435e-07,1.84838e-07,2.20027e-07,2.28104e-07,2.1184e-07,1.83056e-07
425.257732,5.10031e-07,1.05433e-07,3.07344e-07,7.08184e-08,3.46965e-07,2.59936e-07,9.0539e-08,2.84744e-07,2.62141e-07,1.67726e-07,2.14389e-07,1.84882e-07,2.19879e-07,2.29313e-07,2.11557e-07,1.82685e-07
426.116838,5.06007e-07,1.04208e-07,3.06623e-07,7.03715e-08,3.43844e-07,2.58509e-07,8.84494e-08,2.82763e-07,2.61421e-07,1.68386e-07,2.14576e-07,1.85016e-07,2.18979e-07,2.304e-07,2.11243e-07,1.81958e-07
426.975945,5.0338e-07,1.02156e-07,3.06454e-07,6.90645e-08,3.41661e-07,2.57452e-07,8.47021e-08,2.81698e-07,2.61031e-07,1.69398e-07,2.15493e-07,1.85218e-07,2.17995e-07,2.31366e-07,2.11098e-07,1.81656e-07
427.835052,5.02278e-07,1.00451e-07,3.06536e-07,6.74126e-08,3.4011e-07,2.5669e-07,8.13591e-08,2.80996e-07,2.6137e-07,1.70941e-07,2.17358e-07,1.85661e-07,2.18118e-07,2.33077e-07,2.11721e-07,1.82379e-07
428.694158,5.02566e-07,9.97584e-08,3.07394e-07,6.59531e-08,3.39833e-07,2.56334e-07,7.9826e-08,2.80763e-07,2.6269e-07,1.7298e-07,2.20234e-07,1.86545e-07,2.19441e-07,2.353e-07,2.13039e-07,1.84252e-07
429.553265,5.03846e-07,9.9978e-08,3.0906e-07,6.47824e-08,3.40591e-07,2.55923e-07,8.00103e-08,2.81398e-07,2.64439e-07,1.75669e-07,2.23659e-07,1.88089e-07,2.21805e-07,2.38344e-07,2.14953e-07,1.8691e-07
430.412371,5.06293e-07,1.00413e-07,3.11093e-07,6.39578e-08,3.42476e-07,2.55848e-07,8.07493e-08,2.82876e-07,2.66509e-07,1.78894e-07,2.27053e-07,1.89863e-07,2.24379e-07,2.41663e-07,2.17199e-07,1.89303e-07
431.271478,5.08787e-07,1.00523e-07,3.13199e-07,6.34375e-08,3.44699e-07,2.55557e-07,8.11204e-08,2.85193e-07,2.68595e-07,1.82222e-07,2.30535e-07,1.91584e-07,2.26448e-07,2.44957e-07,2.20036e-07,1.9101e-07
432.130584,5.11766e-07,1.00407e-07,3.14782e-07,6.34112e-08,3.46929e-07,2.55646e-07,8.10044e-08,2.87796e-07,2.70704e-07,1.85553e-07,2.34342e-07,1.93106e-07,2.28047e-07,2.48463e-07,2.229e-07,1.92161e-07
432.989691,5.15751e-07,1.00354e-07,3.15903e-07,6.37864e-08,3.4948e-07,2.55964e-07,8.06093e-08,2.90393e-07,2.72562e-07,1.88969e-07,2.38561e-07,1.94382e-07,2.29584e-07,2.52063e-07,2.25519e-07,1.93384e-07
433.848797,5.1991e-07,1.00519e-07,3.16597e-07,6.40006e-08,3.51917e-07,2.56325e-07,8.00197e-08,2.92628e-07,2.74198e-07,1.92123e-07,2.43624e-07,1.953e-07,2.31011e-07,2.54932e-07,2.28012e-07,1.94893e-07
434.707904,5.23734e-07,1.00809e-07,3.16591e-07,6.35679e-08,3.53797e-07,2.56158e-07,7.94287e-08,2.94313e-07,2.75233e-07,1.95131e-07,2.48692e-07,1.95838e-07,2.3235e-07,2.56999e-07,2.29835e-07,1.9631e-07
435.567010,5.27379e-07,1.00988e-07,3.15693e-07,6.26144e-08,3.54686e-07,2.55132e-07,7.90207e-08,2.95768e-07,2.75031e-07,1.97493e-07,2.52741e-07,1.95707e-07,2.33083e-07,2.57653e-07,2.31157e-07,1.9703e-07
436.426117,5.31222e-07,1.01197e-07,3.1341e-07,6.18329e-08,3.54661e-07,2.53392e-07,7.92003e-08,2.96667e-07,2.74054e-07,1.98759e-07,2.54871e-07,1.94849e-07,2.32728e-07,2.56669e-07,2.31252e-07,1.96004e-07
437.285223,5.34653e-07,1.01437e-07,3.09659e-07,6.18502e-08,3.5357e-07,2.51002e-07,7.98893e-08,2.96541e-07,2.71854e-07,1.98847e-07,2.55029e-07,1.93169e-07,2.31277e-07,2.53546e-07,2.30224e-07,1.93219e-07
438.144330,5.3658e-07,1.01553e-07,3.05035e-07,6.24123e-08,3.51609e-07,2.48324e-07,8.03698e-08,2.95169e-07,2.68654e-07,1.97298e-07,2.53581e-07,1.90806e-07,2.28288e-07,2.49053e-07,2.2765e-07,1.8926e-07
439.003436,5.36983e-07,1.01315e-07,2.99699e-07,6.27568e-08,3.48353e-07,2.4509e-07,8.00662e-08,2.92452e-07,2.64471e-07,1.94204e-07,2.51121e-07,1.87628e-07,2.24173e-07,2.43536e-07,2.23434e-07,1.84956e-07
439.862543,5.35699e-07,1.0076e-07,2.93772e-07,6.25725e-08,3.44001e-07,2.41246e-07,7.89803e-08,2.89086e-07,2.59162e-07,1.89892e-07,2.48132e-07,1.83859e-07,2.19428e-07,2.36803e-07,2.17928e-07,1.80808e-07
