 10000 6 1 0.0 0.0
 0.36671E-01 0.00000E+00 0.00000E+00 0.41511E+00 0.54822E+00 0.00000E+00
 0.18567E+00 0.00000E+00 0.00000E+00 0.24373E-01 0.78996E+00 0.00000E+00
 0.12509E+00 0.00000E+00 0.75461E+00 0.00000E+00 0.12030E+00 0.00000E+00
 0.28542E+00 0.00000E+00 0.00000E+00 0.71458E+00 0.00000E+00 0.00000E+00
 0.34805E+00 0.00000E+00 0.00000E+00 0.65195E+00 0.00000E+00 0.00000E+00
 0.30986E+00 0.00000E+00 0.00000E+00 0.69014E+00 0.00000E+00 0.00000E+00
 0.46471E+00 0.00000E+00 0.00000E+00 0.45203E+00 0.83258E-01 0.00000E+00
 0.16032E+00 0.00000E+00 0.00000E+00 0.83968E+00 0.00000E+00 0.00000E+00
 0.85430E-01 0.68761E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.22697E+00
 0.41548E+00 0.00000E+00 0.17353E+00 0.00000E+00 0.41099E+00 0.00000E+00
 0.99176E-01 0.00000E+00 0.00000E+00 0.90082E+00 0.00000E+00 0.00000E+00
 0.14504E+00 0.00000E+00 0.00000E+00 0.77891E+00 0.76049E-01 0.00000E+00
 0.16256E+00 0.00000E+00 0.00000E+00 0.83744E+00 0.00000E+00 0.00000E+00
 0.26162E-02 0.00000E+00 0.00000E+00 0.99738E+00 0.00000E+00 0.00000E+00
 0.71449E+00 0.00000E+00 0.00000E+00 0.21194E+00 0.73568E-01 0.00000E+00
 0.63908E-01 0.00000E+00 0.10022E+00 0.00000E+00 0.83587E+00 0.00000E+00
 0.67442E+00 0.00000E+00 0.00000E+00 0.20061E+00 0.12498E+00 0.00000E+00
 0.28002E+00 0.00000E+00 0.00000E+00 0.34561E+00 0.37437E+00 0.00000E+00
 0.66069E+00 0.00000E+00 0.00000E+00 0.28530E+00 0.54019E-01 0.00000E+00
 0.37154E+00 0.00000E+00 0.18614E+00 0.00000E+00 0.44232E+00 0.00000E+00
 0.69034E-02 0.52334E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.46976E+00
 0.20993E+00 0.00000E+00 0.00000E+00 0.65111E+00 0.13895E+00 0.00000E+00
 0.68493E+00 0.00000E+00 0.31064E+00 0.00000E+00 0.44215E-02 0.00000E+00
 0.34685E+00 0.00000E+00 0.00000E+00 0.65315E+00 0.00000E+00 0.00000E+00
 0.24773E+00 0.29715E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.45512E+00
 0.32686E+00 0.00000E+00 0.00000E+00 0.67314E+00 0.00000E+00 0.00000E+00
 0.15654E+00 0.00000E+00 0.10114E+00 0.00000E+00 0.74232E+00 0.00000E+00
 0.28303E+00 0.00000E+00 0.00000E+00 0.45129E+00 0.26568E+00 0.00000E+00
 0.80769E-01 0.00000E+00 0.40025E+00 0.00000E+00 0.51898E+00 0.00000E+00
 0.19852E+00 0.00000E+00 0.00000E+00 0.78348E-01 0.72313E+00 0.00000E+00
 0.46123E+00 0.00000E+00 0.00000E+00 0.51727E+00 0.21505E-01 0.00000E+00
 0.44183E-01 0.00000E+00 0.00000E+00 0.95582E+00 0.00000E+00 0.00000E+00
 0.17484E+00 0.00000E+00 0.00000E+00 0.66459E+00 0.16057E+00 0.00000E+00
 0.19679E+00 0.52054E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.28268E+00
 0.70209E-01 0.26961E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.66018E+00
 0.68295E+00 0.00000E+00 0.31510E+00 0.00000E+00 0.19486E-02 0.00000E+00
 0.63448E+00 0.00000E+00 0.00000E+00 0.26159E+00 0.10393E+00 0.00000E+00
 0.27904E+00 0.00000E+00 0.00000E+00 0.56087E+00 0.16009E+00 0.00000E+00
 0.47667E+00 0.00000E+00 0.00000E+00 0.19823E+00 0.32510E+00 0.00000E+00
 0.56646E+00 0.12570E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.30784E+00
 0.24829E+00 0.00000E+00 0.00000E+00 0.75171E+00 0.00000E+00 0.00000E+00
 0.26054E+00 0.38463E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.35483E+00
 0.34224E+00 0.50066E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.15710E+00
 0.11071E+00 0.00000E+00 0.00000E+00 0.78151E+00 0.10778E+00 0.00000E+00
 0.89525E-01 0.00000E+00 0.90313E+00 0.00000E+00 0.73460E-02 0.00000E+00
 0.31960E+00 0.00000E+00 0.59706E+00 0.00000E+00 0.83349E-01 0.00000E+00
 0.40877E+00 0.00000E+00 0.00000E+00 0.59123E+00 0.00000E+00 0.00000E+00
 0.17429E+00 0.00000E+00 0.00000E+00 0.82571E+00 0.00000E+00 0.00000E+00
 0.57800E+00 0.00000E+00 0.00000E+00 0.38661E+00 0.35392E-01 0.00000E+00
 0.32234E+00 0.00000E+00 0.44735E+00 0.00000E+00 0.23031E+00 0.00000E+00
 0.68962E+00 0.00000E+00 0.00000E+00 0.26075E+00 0.49630E-01 0.00000E+00
 0.31919E+00 0.00000E+00 0.00000E+00 0.26812E-01 0.65400E+00 0.00000E+00
 0.57884E+00 0.00000E+00 0.00000E+00 0.40276E+00 0.18398E-01 0.00000E+00
 0.22659E+00 0.00000E+00 0.00000E+00 0.65113E+00 0.12228E+00 0.00000E+00
